BettingSite,Sport,Event,Local,Visitor,Market,Bet,Quote,ScrapDateTime
Marathonbet,Tennis,Australia (Dobles) vs Países Bajos (Dobles),Australia (Dobles),Países Bajos (Dobles),Match_Result,1,1.85,2022-11-22 18:43:12.450006
Marathonbet,Tennis,Australia (Dobles) vs Países Bajos (Dobles),Australia (Dobles),Países Bajos (Dobles),Match_Result,3,1.95,2022-11-22 18:43:12.463379
Marathonbet,Tennis,Croacia vs España,Croacia,España,Match_Result,1,1.43,2022-11-22 18:43:14.960687
Marathonbet,Tennis,Croacia vs España,Croacia,España,Match_Result,3,2.74,2022-11-22 18:43:14.976799
Marathonbet,Tennis,Italia vs EEUU,Italia,EEUU,Match_Result,1,2.94,2022-11-22 18:43:18.558892
Marathonbet,Tennis,Italia vs EEUU,Italia,EEUU,Match_Result,3,1.38,2022-11-22 18:43:18.578584
Marathonbet,Tennis,Alemania vs Canadá,Alemania,Canadá,Match_Result,1,5.05,2022-11-22 18:43:22.268706
Marathonbet,Tennis,Alemania vs Canadá,Alemania,Canadá,Match_Result,3,1.155,2022-11-22 18:43:22.301364
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",Match_Result,1,4.1,2022-11-22 18:43:26.038142
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",Match_Result,3,1.22,2022-11-22 18:43:26.055868
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",To_Win_Match_With_Handicap_By_Sets0,HB_(Local)(-1.5),6.9,2022-11-22 18:43:26.342883
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",To_Win_Match_With_Handicap_By_Sets0,HB_(Visitor)(+1.5),1.061,2022-11-22 18:43:26.415831
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",To_Win_Match_With_Handicap_By_Sets,HB_(Local)(+1.5),2.1,2022-11-22 18:43:26.483246
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",To_Win_Match_With_Handicap_By_Sets,HB_(Visitor)(-1.5),1.64,2022-11-22 18:43:26.549606
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",To_Win_Match_With_Handicap_By_Games2,HB_(Local)(+4.5),2.19,2022-11-22 18:43:26.649955
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",To_Win_Match_With_Handicap_By_Games2,HB_(Visitor)(-4.5),1.6,2022-11-22 18:43:26.716776
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",To_Win_Match_With_Handicap_By_Games0,HB_(Local)(+5.0),1.99,2022-11-22 18:43:26.793342
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",To_Win_Match_With_Handicap_By_Games0,HB_(Visitor)(-5.0),1.75,2022-11-22 18:43:26.861121
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",To_Win_Match_With_Handicap_By_Games,HB_(Local)(+5.5),1.82,2022-11-22 18:43:26.931236
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",To_Win_Match_With_Handicap_By_Games,HB_(Visitor)(-5.5),1.94,2022-11-22 18:43:26.997345
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",To_Win_Match_With_Handicap_By_Games1,HB_(Local)(+6.0),1.59,2022-11-22 18:43:27.062996
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",To_Win_Match_With_Handicap_By_Games1,HB_(Visitor)(-6.0),2.24,2022-11-22 18:43:27.126259
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",To_Win_Match_With_Handicap_By_Games3,HB_(Local)(+6.5),1.46,2022-11-22 18:43:27.192755
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",To_Win_Match_With_Handicap_By_Games3,HB_(Visitor)(-6.5),2.52,2022-11-22 18:43:27.261562
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",Total_Sets,Under_2.5,1.35,2022-11-22 18:43:27.370371
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",Total_Sets,Over_2.5,2.88,2022-11-22 18:43:27.430403
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",Total_Games3,Under_18.5,2.14,2022-11-22 18:43:27.547428
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",Total_Games3,Over_18.5,1.63,2022-11-22 18:43:27.603878
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",Total_Games1,Under_19,2.01,2022-11-22 18:43:27.657340
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",Total_Games1,Over_19,1.73,2022-11-22 18:43:27.706436
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",Total_Games,Under_19.5,1.88,2022-11-22 18:43:27.762202
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",Total_Games,Over_19.5,1.88,2022-11-22 18:43:27.811999
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",Total_Games0,Under_20,1.75,2022-11-22 18:43:27.869345
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",Total_Games0,Over_20,1.99,2022-11-22 18:43:27.919172
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",Total_Games2,Under_20.5,1.66,2022-11-22 18:43:27.965805
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",Total_Games2,Over_20.5,2.09,2022-11-22 18:43:28.013569
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",Total_Games_Odd_Or_Even,odd,1.85,2022-11-22 18:43:28.064471
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",Total_Games_Odd_Or_Even,even,1.833,2022-11-22 18:43:28.110238
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",Total_Tie-breaks,Under_0.5,1.153,2022-11-22 18:43:28.217348
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",Total_Tie-breaks,Over_0.5,4.55,2022-11-22 18:43:28.269998
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",First_Team_Total_Games,Under_8.5,1.75,2022-11-22 18:43:28.357701
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",First_Team_Total_Games,Over_8.5,1.94,2022-11-22 18:43:28.410399
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",Second_Team_Total_Games,Under_12.5,1.61,2022-11-22 18:43:28.504933
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",Second_Team_Total_Games,Over_12.5,2.15,2022-11-22 18:43:28.557774
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",1st_Set_Result,RN_(Local),2.98,2022-11-22 18:43:28.651601
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",1st_Set_Result,RN_(Visitor),1.33,2022-11-22 18:43:28.709206
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",To_Win_1st_Set_With_Handicap,HB_(Local)(+2.5),1.8,2022-11-22 18:43:28.812595
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",To_Win_1st_Set_With_Handicap,HB_(Visitor)(-2.5),1.88,2022-11-22 18:43:28.877660
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",1st_Set_Total_Games,Under_8.5,2.13,2022-11-22 18:43:28.970246
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",1st_Set_Total_Games,Over_8.5,1.62,2022-11-22 18:43:29.025949
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",1st_Set_Total_Games_Odd_or_Even,odd,1.99,2022-11-22 18:43:29.078789
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",1st_Set_Total_Games_Odd_or_Even,even,1.71,2022-11-22 18:43:29.125578
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",First_Team_1st_Set_Games_To_Win,Under_3.5,1.88,2022-11-22 18:43:29.212120
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",First_Team_1st_Set_Games_To_Win,Over_3.5,1.8,2022-11-22 18:43:29.269111
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",First_Team_1st_Set_Games_To_Win0,Under_4.5,1.56,2022-11-22 18:43:29.320778
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",First_Team_1st_Set_Games_To_Win0,Over_4.5,2.24,2022-11-22 18:43:29.381624
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",Second_Team_1st_Set_Games_To_Win0,Under_4.5,3.72,2022-11-22 18:43:29.470580
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",Second_Team_1st_Set_Games_To_Win0,Over_4.5,1.222,2022-11-22 18:43:29.522047
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",Second_Team_1st_Set_Games_To_Win,Under_5.5,3.34,2022-11-22 18:43:29.584431
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",Second_Team_1st_Set_Games_To_Win,Over_5.5,1.27,2022-11-22 18:43:29.638172
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",2nd_Set_Result,RN_(Local),3.34,2022-11-22 18:43:29.727796
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",2nd_Set_Result,RN_(Visitor),1.27,2022-11-22 18:43:29.784531
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",To_Win_2nd_Set_With_Handicap,HB_(Local)(+2.5),1.86,2022-11-22 18:43:29.884749
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",To_Win_2nd_Set_With_Handicap,HB_(Visitor)(-2.5),1.8,2022-11-22 18:43:29.951019
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",2nd_Set_Total_Games,Under_8.5,2.07,2022-11-22 18:43:30.044587
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",2nd_Set_Total_Games,Over_8.5,1.64,2022-11-22 18:43:30.101828
Marathonbet,Tennis,"Stevanovic, Natalija vs Li, Ann","Stevanovic, Natalija","Li, Ann",2nd_Set_Total_Games_Odd_or_Even,odd,2.02,2022-11-22 18:43:30.152274
